title,make,model,year,condition,transmission,price
New Toyota Land Cruiser 3.5 Petrol 4WD 2022 White,New,Toyota Land,2022,brand new,manual,"₦ 125,000,000"
Honda Ridgeline RTS 2011 Black,Honda,Ridgeline RTS,2011,foreign used,automatic,"₦ 15,000,000"
Toyota Corolla Verso 2.2 D 136hp 2008 Blue,Toyota,Corolla Verso,2008,foreign used,automatic,"₦ 11,500,000"
Toyota Sequoia Limited 4x4 2018 Black,Toyota,Sequoia Limited,2018,foreign used,automatic,"₦ 48,000,000"
Hyundai Tucson Limited 2023 Black,Hyundai,Tucson Limited,2023,foreign used,automatic,"₦ 42,000,000"
Toyota Highlander XSE 2022 Gray,Toyota,Highlander XSE,2022,foreign used,automatic,"₦ 75,000,000"
Toyota Land Cruiser Prado SV Premium 2015 Black,Toyota,Land Cruiser,2015,foreign used,automatic,"₦ 55,000,000"
Toyota Highlander Platinum AWD 2020 Red,Toyota,Highlander Platinum,2020,foreign used,automatic,"₦ 78,000,000"
Toyota Rush 2020 White,Toyota,Rush,2020,foreign used,automatic,"₦ 33,000,000"
Mercedes-Benz GLE-Class AMG GLE 63 S 4MATIC 2018 Black,Mercedes-Benz,GLE-Class AMG,2018,foreign used,automatic,"₦ 80,000,000"
Honda Pilot 2016 White,Honda,Pilot,2016,foreign used,automatic,"₦ 26,000,000"
Mercedes-Benz GLA 250 2015 Gold,Mercedes-Benz,GLA 250,2015,foreign used,automatic,"₦ 25,700,000"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2009 Black,Toyota,Camry SE,2009,foreign used,automatic,"₦ 12,000,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 Red,Toyota,Camry LE,2010,local used,automatic,"₦ 7,199,999"
Honda Accord Automatic 2003 Silver,Honda,Accord Automatic,2003,local used,automatic,"₦ 2,900,000"
Peugeot 307 2005 Black,Peugeot,307,2005,local used,automatic,"₦ 5,800,000"
Lexus RX 2012 Black,Lexus,RX,2012,foreign used,automatic,"₦ 20,500,000"
Hyundai Santa Fe 2014 Black,Hyundai,Santa Fe,2014,foreign used,automatic,"₦ 16,000,000"
Toyota Corolla CE 2007 Blue,Toyota,Corolla CE,2007,foreign used,automatic,"₦ 10,000,000"
Honda Accord Touring V-6 4dr Sedan (3.5L 6cyl 6A) 2015 White,Honda,Accord Touring,2015,foreign used,automatic,"₦ 15,500,000"
Hyundai Veloster Automatic 2012 Black,Hyundai,Veloster Automatic,2012,foreign used,automatic,"₦ 13,000,000"
Toyota Sienna 2010 Silver,Toyota,Sienna,2010,local used,automatic,"₦ 13,000,000"
Mercedes-Benz C63 2013 Black,Mercedes-Benz,C63,2013,local used,automatic,"₦ 26,000,000"
Mercedes-Benz GLE-Class 2016 Brown,Mercedes-Benz,GLE-Class,2016,foreign used,automatic,"₦ 41,500,000"
Toyota Venza V6 AWD 2012 White,Toyota,Venza V6,2012,foreign used,automatic,"₦ 19,500,000"
Lexus ES 350 2008 Black,Lexus,ES 350,2008,foreign used,automatic,"₦ 13,500,000"
Mercedes-Benz GLC-Class 2016 Blue,Mercedes-Benz,GLC-Class,2016,foreign used,automatic,"₦ 40,000,000"
Toyota Avensis Verso 2.0 Petrol 2007 Red,Toyota,Avensis Verso,2007,foreign used,automatic,"₦ 13,500,000"
Toyota Sequoia Limited 4dr SUV 4WD (4.7L 8cyl 5A) 2005 Blue,Toyota,Sequoia Limited,2005,foreign used,automatic,"₦ 7,800,000"
Toyota Camry 2014 Red,Toyota,Camry,2014,foreign used,automatic,"₦ 16,500,000"
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2015 Brown,Mercedes-Benz,CLA-Class CLA,2015,foreign used,automatic,"₦ 22,000,000"
